,Release Date,Normalized Sentiment
684,2019-01-22,63.0
685,2019-01-23,16.0
686,2019-01-24,25.0
687,2019-01-29,-33.5
688,2019-01-30,-4.5
689,2019-01-31,-43.4
690,2019-02-01,2.0
691,2019-02-04,-94.0
692,2019-02-05,-20.75
693,2019-02-06,-43.0
694,2019-02-07,-29.5
695,2019-02-13,64.0
696,2019-02-14,39.0
697,2019-02-20,12.0
698,2019-02-22,-40.5
699,2019-02-25,-36.666666666666664
700,2019-02-26,-30.0
701,2019-02-27,-33.625
702,2019-02-28,-39.2
703,2019-03-05,-46.25
704,2019-03-06,-51.0
705,2019-03-07,-30.0
706,2019-03-08,-62.0
707,2019-03-11,-29.0
708,2019-03-12,-35.0
709,2019-03-13,-33.0
710,2019-03-14,-16.6
711,2019-03-15,-33.0
712,2019-03-18,-16.666666666666668
713,2019-03-19,-26.666666666666668
714,2019-03-20,-47.0
715,2019-03-21,-31.5
716,2019-03-22,38.0
717,2019-03-25,-43.0
718,2019-03-27,-35.0
719,2019-03-28,-56.0
720,2019-04-01,-59.5
721,2019-04-12,-19.0
722,2019-04-16,0.0
723,2019-04-17,-50.0
724,2019-04-18,41.0
725,2019-04-23,-20.0
726,2019-04-24,-27.6
727,2019-04-25,-35.75
728,2019-04-26,-42.0
729,2019-04-29,19.0
730,2019-04-30,-39.333333333333336
731,2019-05-01,8.0
732,2019-05-02,-10.9
733,2019-05-06,-37.0
734,2019-05-07,11.5
735,2019-05-08,-51.166666666666664
736,2019-05-09,-48.75
737,2019-05-10,-29.0
738,2019-05-13,-45.25
739,2019-05-14,-30.0
740,2019-05-15,24.666666666666668
741,2019-05-16,-5.4
742,2019-05-20,-46.0
743,2019-05-21,-42.0
744,2019-05-22,8.333333333333334
745,2019-05-27,-64.0
746,2019-05-28,-15.0
747,2019-05-29,-60.0
748,2019-05-30,-42.0
749,2019-05-31,48.0
750,2019-06-04,36.0
751,2019-06-05,-47.0
752,2019-06-06,77.0
753,2019-06-11,-35.0
754,2019-06-12,-30.25
755,2019-06-13,-26.0
756,2019-06-14,4.5
757,2019-06-17,-38.0
758,2019-06-18,-31.0
759,2019-06-19,-65.0
760,2019-07-18,23.333333333333332
761,2019-07-23,-78.0
762,2019-07-24,1.5
763,2019-07-25,-16.666666666666668
764,2019-07-26,-3.0
765,2019-07-29,-35.0
766,2019-07-30,-16.444444444444443
767,2019-07-31,-21.0
768,2019-08-01,-48.166666666666664
769,2019-08-02,-49.0
770,2019-08-06,-16.2
771,2019-08-07,10.4
772,2019-08-08,-21.0
773,2019-08-09,8.0
774,2019-08-12,-50.0
775,2019-08-13,-23.0
776,2019-08-20,-54.0
777,2019-08-23,-59.0
778,2019-08-26,-56.0
779,2019-08-27,-22.0
780,2019-09-03,-22.0
781,2019-09-04,-42.2
782,2019-09-05,-30.6
783,2019-09-09,-23.09090909090909
784,2019-09-10,-35.166666666666664
785,2019-09-11,-32.666666666666664
786,2019-09-12,-2.0
787,2019-09-18,2.0
788,2019-09-19,-58.0
789,2019-09-24,-67.0
790,2019-10-01,-71.0
791,2019-10-02,-43.25
792,2019-10-08,-64.0
793,2019-10-11,-38.0
794,2019-10-15,12.0
795,2019-10-22,-41.0
796,2019-10-23,80.0
797,2019-10-24,-13.5
798,2019-10-25,-20.0
799,2019-10-29,-24.2
800,2019-10-31,-34.166666666666664
801,2019-11-01,-33.0
802,2019-11-04,-53.0
803,2019-11-05,-44.0
804,2019-11-06,19.0
805,2019-11-07,-41.666666666666664
806,2019-11-11,-38.0
807,2019-11-12,-48.0
808,2019-11-13,70.0
809,2019-11-14,-21.0
810,2019-11-15,-49.0
811,2019-11-18,-62.0
812,2019-11-19,-48.5
813,2019-11-20,-31.0
814,2019-11-21,-21.5
815,2019-11-22,-42.0
816,2019-11-25,-55.0
817,2019-11-27,-27.0
818,2019-12-03,31.0
819,2019-12-04,-48.0
820,2019-12-05,-32.0
821,2019-12-09,-60.0
822,2019-12-10,24.0
823,2019-12-11,-14.0
824,2019-12-13,-13.0
825,2019-12-16,-37.0
826,2019-12-18,23.0
827,2019-12-19,-51.0
828,2020-01-08,-50.0
829,2020-01-09,-22.0
830,2020-01-13,-0.8571428571428571
831,2020-01-14,-17.75
832,2020-01-15,-20.25
833,2020-01-30,-16.0
834,2020-01-31,-44.0
835,2020-02-04,-19.5
836,2020-02-05,40.0
837,2020-02-06,-43.333333333333336
838,2020-02-13,-39.5
839,2020-02-20,-20.0
840,2020-02-24,-27.0
841,2020-02-25,-46.333333333333336
842,2020-02-26,-19.0
843,2020-02-27,-12.0
844,2020-02-28,-8.0
845,2020-03-02,-44.5
846,2020-03-03,-45.25
847,2020-03-04,-6.0
848,2020-03-05,-32.0
849,2020-03-06,-6.0
850,2020-03-10,-46.8
851,2020-03-11,49.0
852,2020-03-12,-48.666666666666664
853,2020-03-16,-39.2
854,2020-03-17,-47.0
855,2020-03-31,-21.0
856,2020-04-08,-94.0
857,2020-04-09,-45.0
858,2020-04-13,-40.0
859,2020-04-14,-48.333333333333336
860,2020-04-15,-29.0
861,2020-04-20,-61.0
862,2020-04-21,-58.0
863,2020-04-22,-49.5
864,2020-04-23,-58.5
865,2020-04-24,-49.0
866,2020-04-27,-68.0
867,2020-04-29,-72.0
868,2020-04-30,-65.5
869,2020-05-04,-47.5
870,2020-05-05,-68.8
871,2020-05-06,-34.0
872,2020-05-07,-39.25
873,2020-05-08,-64.0
874,2020-05-11,-41.0
875,2020-05-13,-52.0
876,2020-05-14,-62.111111111111114
877,2020-05-18,-92.0
878,2020-05-19,-59.5
879,2020-05-20,-13.0
880,2020-05-26,1.0
881,2020-06-01,-42.0
882,2020-06-02,-33.666666666666664
883,2020-06-07,-53.0
884,2020-06-09,-52.0
885,2020-06-10,-42.0
886,2020-06-11,-62.666666666666664
887,2020-06-22,-63.0
888,2020-06-23,-57.0
889,2020-06-24,-63.0
890,2020-06-26,-58.0
891,2020-07-20,-65.0
892,2020-07-27,-49.0
893,2020-07-28,-38.0
894,2020-07-29,-32.0
895,2020-07-30,-43.833333333333336
896,2020-07-31,10.0
897,2020-08-03,-34.75
898,2020-08-04,-59.0
899,2020-08-06,-25.2
900,2020-08-07,-65.0
901,2020-08-10,-58.833333333333336
902,2020-08-11,-53.0
903,2020-08-14,-69.0
904,2020-08-17,-78.0
905,2020-08-18,-65.0
906,2020-08-21,-48.0
907,2020-08-25,-52.0
908,2020-08-26,-67.0
909,2020-08-28,-69.0
910,2020-09-09,-61.0
911,2020-09-10,-26.0
