NDC,count,mean,std,min,25%,50%,75%,max
187099445,2167.0,0.5211260133931273,0.5678178080030761,-0.9593679043887262,0.34387443814156804,0.8011235617359928,0.9011118747736738,1.0
187170405,2167.0,0.5173966502827267,0.5756215680515073,-0.9791033577903565,0.3432493749784026,0.7981559963317041,0.9054124860217674,1.0
187204530,2167.0,-0.0878276585580487,0.26287264353963685,-0.6870635040989606,-0.2625269558211887,-0.15182021742872095,0.08408835181424656,1.0
187204590,2167.0,0.5109579502698004,0.5680965286088508,-0.9418880505634806,0.3038695681136975,0.7999061135886388,0.9095597242272198,1.0
187204630,2167.0,0.3986338408254613,0.44789628119787145,-0.9441498467377504,0.21812421296218765,0.6010272759901889,0.7156928149413435,1.0
187204730,2167.0,0.45200522465689535,0.5248714036854438,-0.8982489196523509,0.22066746492799078,0.7272781611161461,0.8261793668444706,1.0
187204930,2167.0,0.4797322151934437,0.5032245635539814,-0.8452885213999356,0.3028656289460923,0.7269370728574568,0.8256521815800006,1.0
187301030,2167.0,0.5202095859580618,0.5529261917385844,-0.9083059767619746,0.3249558893025286,0.8047385346004781,0.8954438748322826,1.0
187301220,2167.0,0.41072564099516334,0.44619271194609406,-0.9588540641531159,0.32846055962569476,0.5715090564180573,0.6949428256133905,1.0
187301330,2167.0,0.417946662054169,0.5360393042628999,-0.9238936381482797,0.13290622919444,0.6723491331282215,0.8100616787937812,1.0
187320447,2167.0,-0.2208769146721347,0.3030407965907174,-0.7322601217098839,-0.4129335212865963,-0.2983261790728133,-0.13268673445229617,1.0
187410010,2167.0,-0.24562681924521831,0.32071616872025127,-0.7622599346398751,-0.47309236153429013,-0.34587032840974263,-0.1129710484831504,1.0
187510001,2167.0,0.3482876884908079,0.3823180762930511,-0.8999062677936557,0.24735308975257525,0.4611064974930975,0.5894177344027796,1.0
187510102,2167.0,0.36584393093480677,0.39839413292763787,-0.9117973245976392,0.2741949062339347,0.4912457498774394,0.6193652965000374,1.0
187510203,2167.0,0.43426409605800076,0.46183501214154726,-0.8982816865825163,0.2978243533033458,0.620296016228629,0.7507428058465133,1.0
187511560,2167.0,0.4891229335284961,0.5727138859555528,-0.9426069883251013,0.2241659671337029,0.7863200810224371,0.9011073271307151,1.0
