Class,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes prediction,Percent # price changes,Percent # price changes prediction,TRx weighted WAC,Sales weighted WAC,Sales weighted WAC predictions
"VACCINES (PURE, COMB, OTHER)",2018,11,0.04401804858391156,39.0,3.0,1.0,0.07692307692307693,0.016853933,206.3019057573114,282.0692736756932,283.1052218088203
"VACCINES (PURE, COMB, OTHER)",2018,12,0.05562516468601921,39.0,13.0,5.0,0.3333333333333333,0.11666666699999999,187.4238460761343,268.1675058342407,271.3606755266132
"VACCINES (PURE, COMB, OTHER)",2019,1,0.01956856953033833,41.0,2.0,1.0,0.04878048780487805,0.013605441999999999,177.5841505765606,259.605821772845,261.01300102016233
"VACCINES (PURE, COMB, OTHER)",2019,2,0.04716774208007042,41.0,17.0,10.0,0.4146341463414634,0.22758620699999998,171.86277388783313,260.0824897116897,260.09849936725686
"VACCINES (PURE, COMB, OTHER)",2019,3,0.04654356970114083,42.0,1.0,1.0,0.023809523809523808,0.013513513999999999,164.1589945084062,252.19895230167953,254.60566785663647
"VACCINES (PURE, COMB, OTHER)",2019,4,0.04604219300408297,42.0,0.0,1.0,0.0,0.013422818999999999,148.70427119014457,236.1741794386446,246.26677107823662
"VACCINES (PURE, COMB, OTHER)",2019,5,0.04638195747433314,42.0,0.0,0.0,0.0,0.0,138.94560980426127,224.68013123677886,236.0619945895357
"VACCINES (PURE, COMB, OTHER)",2019,6,0.04546663041008951,42.0,0.0,1.0,0.0,0.013513513999999999,142.05455902763657,226.9710645877594,235.45924618530253
"VACCINES (PURE, COMB, OTHER)",2019,7,0.04491174052721015,42.0,0.0,0.0,0.0,0.0,140.7354147645288,224.5121674545694,230.5521754412647
"VACCINES (PURE, COMB, OTHER)",2019,8,0.04597879268294732,42.0,0.0,0.0,0.0,0.0,154.05171591116581,241.2975837238707,243.2987535163897
"VACCINES (PURE, COMB, OTHER)",2019,9,0.0639680623968208,42.0,13.0,6.0,0.30952380952380953,0.134228188,210.9203954692021,288.73957962138735,280.30470971779647
"VACCINES (PURE, COMB, OTHER)",2019,10,0.06513863923900921,42.0,1.0,0.0,0.023809523809523808,0.005952381,231.74407100198667,300.4381380363548,292.29716978597287
"VACCINES (PURE, COMB, OTHER)",2019,11,0.06482225901071614,42.0,0.0,0.0,0.0,0.0,215.71027545500328,290.66907827787657,286.7878402563958
"VACCINES (PURE, COMB, OTHER)",2019,12,0.04592097334361319,42.0,0.0,0.0,0.0,0.0,191.18624640916445,271.6079582171187,273.94143723167264
"VACCINES (PURE, COMB, OTHER)",2020,1,0.045090431810442484,42.0,1.0,1.0,0.023809523809523808,0.013888889,176.4562538495266,258.91199247579976,261.7780973496149
"VACCINES (PURE, COMB, OTHER)",2020,2,0.054305273247770784,42.0,18.0,13.0,0.42857142857142855,0.3125,175.71209859142832,266.2400986465788,265.7817957358987
